bit,probability_one
456,0.515625
457,0.516602
458,0.471680
459,0.507812
460,0.480469
461,0.507812
462,0.501953
463,0.510742
464,0.490234
465,0.489258
466,0.492188
467,0.503906
468,0.476562
469,0.488281
470,0.500977
471,0.482422
472,0.500977
473,0.497070
474,0.489258
475,0.501953
476,0.467773
477,0.511719
478,0.489258
479,0.478516
480,0.536133
481,0.499023
482,0.498047
483,0.471680
484,0.495117
485,0.481445
486,0.507812
487,0.489258
488,0.482422
489,0.528320
490,0.500000
491,0.505859
492,0.508789
493,0.481445
494,0.488281
495,0.487305
496,0.479492
497,0.491211
498,0.481445
499,0.512695
500,0.518555
501,0.500000
502,0.480469
503,0.498047
504,0.492188
505,0.529297
506,0.488281
507,0.502930
508,0.479492
509,0.507812
510,0.500000
511,0.484375
512,0.505859
513,0.481445
514,0.510742
515,0.481445
516,0.535156
517,0.469727
518,0.492188
519,0.493164
520,0.459961
521,0.502930
522,0.491211
523,0.495117
524,0.495117
525,0.503906
526,0.491211
527,0.515625
528,0.510742
529,0.511719
530,0.508789
531,0.484375
532,0.486328
533,0.490234
534,0.507812
535,0.481445
536,0.542969
537,0.511719
538,0.524414
539,0.487305
540,0.526367
541,0.507812
542,0.499023
543,0.500000
544,0.522461
545,0.503906
546,0.490234
547,0.503906
548,0.500000
549,0.487305
550,0.507812
551,0.509766
552,0.485352
553,0.518555
554,0.536133
555,0.522461
556,0.495117
557,0.513672
558,0.485352
559,0.508789
560,0.494141
561,0.530273
562,0.488281
563,0.479492
564,0.516602
565,0.503906
566,0.488281
567,0.468750
568,0.509766
569,0.530273
570,0.491211
571,0.511719
572,0.499023
573,0.520508
574,0.501953
575,0.482422
576,0.481445
577,0.506836
578,0.504883
579,0.487305
580,0.500977
581,0.471680
582,0.489258
583,0.502930
584,0.498047
585,0.527344
586,0.466797
587,0.511719
588,0.484375
589,0.506836
590,0.497070
591,0.524414
592,0.494141
593,0.476562
594,0.513672
595,0.515625
596,0.490234
597,0.500000
598,0.502930
599,0.513672
600,0.514648
601,0.502930
602,0.524414
603,0.481445
604,0.512695
605,0.504883
606,0.504883
607,0.501953
608,0.527344
609,0.515625
610,0.489258
611,0.512695
612,0.496094
613,0.510742
